2019-10-21,社会科学处,新中国成立70年来高校思想政治教育的成就、经验与展望,[]
2019-10-22,数学学院,Robust and efficient estimation for thetreatment effect in causal inference and missing data problems,"['报告题目：Random Toeplitz Operators and eigenvalue distribution', '报 告 人：黄毅青 教授 台湾中山大学', '报告时间：2019年10月26日14:30-15:30', '报告地点：数学楼一楼报告厅', '报告摘要：', 'We give a characterization of random Toeplitz operators as randomlinear operators on Hilbert spaces given by multiplications. Their propertiesare studied in term of their generating functions. Our results, whenapplied with the preconditioned conjugate gradient method, gives anew technique for finding numerical solutions of linearsystems associated with a random Toeplitz coefficient matrices. We alsoinvestigate the Weyl equidistribution of eigenfunctions of random Toeplitzmatrices.This is a joint work with King-Fai Lai, Tsung-Lin Lee and Wen-Fong Ke.', '报告人简介：', '黄毅青(Ngai-ChingWong)，台湾中山大学特聘教授，博士生导师，台湾高等教育评鉴中心，大学院系所评鉴数学统计学门规划委员及评鉴委员，台湾科技部，数学统计学数学组复审委员。黄毅青教授研究兴趣在于泛函分析、算子代数等领域，获得了丰硕的研究成果。2004年，黄毅青教授受华人数学家大会ICCM 2004邀请作45分钟报告；目前已在J. Funct. Anal.，Math. Ann.,Math. Z.，J. Operator Theory，SIAM J. Control Optim.，Contemp. Math.等顶级数学期刊发表多篇高水平论文。', '报告题目：Preservers in function spaces', '报 告 人：李磊 副教授 南开大学', '报告时间：2019年10月26日15:30-16:30', '报告地点：数学楼一楼报告厅', '报告摘要：', 'In this talk, Iwill introduce some recent results about linear preservers on some functionspaces. In particular, I will talk about the order isomorphism ondifferentiable function spaces, the inverse of disjointeness preserving maps,and weak local isometries on uniform algebras.', '报告人简介：', '李磊，南开大学数学科学学院副教授，主要研究方向是保持算子以及JB*-triple。2009年12月--2010年8月在台湾中山大学从事博士后研究；2013年8月--2014年7月访问英国玛丽女王大学。在Israel J. Math., StudiaMath.,Proc. Amer. Math. Soc., Canad. Math. Bull., J. Math. Anal. Appl.等著名数学期刊发表论文30多篇。', '报告题目：机动车保险精算分析系统与产品定价', '报 告 人：蔺杉 副教授 东北师范大学数学与统计学院', '报告时间：2019年10月24日上午10：30-11：30', '报告地点：数学楼629', '报告摘要：', '国内外机动车保险市场，机动车保险精算分析系统，风险评估与产品定价。', '报告人简介：', '蔺杉，博士毕业于英国南安普敦大学，曾任职英国Admiral保险集团精算分析师，现任东北师范大学数学与统计学院副院长，统计学一流学科建设委员会委员，长春市青年联合会第十七届委员会委员，吉林省现场统计研究会理事、副秘书长，中华预防医学会健康保险专业委员会第一届委员会委员，中国统计教育学会第七届理事，全国工业统计学教学研究会第九届理事会理事，全国工业统计教学研究会青年统计学家协会第一届理事会理事，主要研究方向为同步推断理论、应用统计。', '报告题目：The reducing subspaces for the Toeplitz operators', '报 告 人：石岩月 副教授 中国海洋大学', '报告时间：2019年10月26日16:30-17:30', '报告地点：数学楼一楼报告厅', '报告摘要：', 'In this talk, we introducesome recent results concerning reducing subspaces for Toeplitz operators onBergman type spaces. We characterize the minimal reducing subspaces forToeplitz operator with quasi-homogeneous symbol, and give several interestingexamples on the Bergman type spaces over bidisk and disk respectively. Finally,we state these results in terms of the commutant algebra.', '报告人简介：', '石岩月，2010年7月博士毕业于大连理工大学，现任中国海洋大学数学科学学院副教授，主要研究函数空间上的算子理论，在解析函数空间上Toeplitz算子的亚正规性、可约性等性质的刻画方面取得若干成果。']"
2019-10-22,新闻科学生记者,四川省政协常委、教育委员会主任朱世宏一行来吉林大学访问,"['【文/摄 新闻科学生记者 陈俊佐】10月18日，四川省政协常委、教育委员会主任朱世宏一行来吉林大学访问。吉林大学副校长郑伟涛会见了朱世宏一行，介绍了吉林大学的办学历史、发展历程以及在人才培养和科学研究等方面取得的成绩。', '\r\n ', '\r\n ', '朱世宏一行还参观了吉大校史馆。四川省政协办公厅教育处二级调研员屈波，吉林省政协教科卫体委主任李建华，学校党委办公室、党委统战部等校地双方相关负责同志陪同参观。']"
2018-04-13,饶家辉,【吉大先贤】高山巍峨：中国首位戎装兽医院士殷震,"['\r\n ', '吉大官微、吉大新闻中心网站、吉林大学报、吉大电视台联合吉林大学媒体联盟成员单位，共同推出《吉大先贤》系列报道，收录吉大故事，记录吉大历史，传承吉大精神。敬请关注！', '今天，带您一同走近中国首位戎装兽医院士殷震。', '\r\n ', '殷震，1926年6月28日生，江苏吴县人，1956年5月入伍，1965年11月加入中国共产党。历任华东军区兽医学校教员，吉林大学农学部（原中国人民解放军兽医大学）助教、讲师、副教授、教授，校专家组组长，解放军基因工程实验室主任，一级教授。我国著名兽医学家、动物病毒学和分子生物学家、教育家，中国工程院院士，中国兽医病毒学开拓者和奠基人。2000年7月18日在赴哈尔滨公出途中遭遇车祸，不幸以身殉职，享年74岁。', '殷震院士殉职后，总后勤部，国家教育部，国家农业部，中国工程院，国家自然科学基金委员会，中国微生物学会，中国畜牧兽医学会，吉林省委、省政府、省人大、省政协，长春市委、市政府，吉林省军区，军内外大专院校，科研机构，社会团体等160多家单位；全国政协副主席、中国工程院院长宋健，中央军委委员、总后勤部部长王克上将，总后勤部政治委员周坤仁上将及总后勤部其他首长，中国科学院院士刘建康、卢永根，中国工程院院士任继周、闻玉梅、盛志勇、旭日干、宋湛谦、熊远著、蒋亦元、范云六、沈倍奋、王正国、程天民、刘更另、向仲怀、周国泰，全国人大常委会农委会副主任、中国农学会会长洪绂曾，军内外院校、科研机构、社会团体的领导和专家教授，原学校部分老领导，校常委，校专家组，殷震院士生前友好、学术同仁、同事、同乡、海内外学生等182人，先后发来唁电、唁函，敬献了花圈、花篮、挽联、挽幛。', '\r\n ', '殷震的故乡是被世人所称道的“人间天堂”苏州，其家学渊博，书香门第。祖父殷伯虔是位颇有名气的国画家，父亲殷云林也是当地的“名士”，其兄殷之文小学毕业即远离故土远赴上海，在具有100多年历史的名校——南洋中学就读。后来成长为我国著名的材料科学家，中国无机材料学科的学术带头人和奠基人之一，中国开发锆钛酸铅压电陶瓷的首创者，1993年即当选为中国科学院院士。因此，殷震从小即受到家庭教育的良好熏陶，学习成绩极好。与祖辈不同的是，殷震没有继承家学，而是喜欢上了小动物，他崇拜既是昆虫学家又是文学家的法布尔。表哥的《昆虫记》也让他爱不释手，引导他进入了一个奇异的昆虫世界。尽管在旧社会世人多对兽医专业存有偏见。但当时的殷震却目光独炬，他认为：同“人医”相比，兽医的服务范畴更广，当兽医的能够当得了一般的医生，但一般的医生却不一定当得了兽医，兽医于国于民都不可或缺。也正因为迷恋于此，他不顾世俗眼光，高中毕业后，毅然选择了报考江苏南通学院畜牧兽医系，1949年6月毕业参加工作，他选择了到第三野战军华东兽医学校当教员，从此开始了军旅兽医生涯。1953年，华东兽医学校并入吉林大学农学部（原中国人民解放军兽医大学），殷震随迁长春，成为一名教员。', '\r\n ', '殷震是典型的“工作狂”“学习狂”。他坚信事业是金，只有愿意付出汗水与心血的淘金者，才能淘到金子并淘亮一颗金子般的心，只有在如饥似渴的学习、不厌其烦的实验之后，才能掌握真才实学。', '迮文琳是一级教授、安顺兽医学校内科专家贾清汉的得意门生，年长殷震10岁，后为南京农业大学内科学教授。他不仅口才好，而且兽医业务和英语水平极佳。殷震就经常请教他，经常同他一道找资料、查数据、写文章，遇到问题就虚心请教。他俩还共同完成了厚厚的英文版教材《兽医内科诊断学》翻译工作。', '新中国创建初期，我国大力学习苏联的教学经验，翻译苏联的教科书，兽医大学也迎来了以拉克吉洪诺夫为总顾问的苏联专家组。因工作需要，殷震又开始学习俄语。从头开始学习一门新的语言，对一般人来说可以说是极其艰难。但殷震凭借良好的英语基础，探索语言学习规律，按照特定的速成学习方法，仅用了23天就基本掌握了俄语阅读能力，能够借助词典顺利翻译教材，而且还担任了兽医大学编译科长，先后翻译和出版了10多部教材和专业参考书。', '20世纪50年代初，国家农业部委托兽医大学一级教授杨本升主编一本教材《兽医微生物学》，然而老教授领授任务不久就到市政协参加高级知识分子学习班了，临行前把任务委托给殷震。殷震欣然受命，一章一章地统稿，一字一字地推敲，终于完成了这本几十万字的长篇巨著。杨本升教授回归后，看到殷震负责编写的书稿，非常满意。他长长地吐了一口气：“不容易呀，看来小殷是完全能立起来了”。也正由于他求真务实、精益求精、创新自强，30多岁就评上了副教授，在当时职称晋升体制下，已算是令人惊叹了。', '\r\n ', '1965年11月，殷震由裴毅为和王世若介绍入党。遗憾的是，预备期还未满，“文化大革命”便爆发了，殷震也被迫中断科研工作，被押送到马场喂马。在那段特殊的岁月，殷震很少说话，也很少有笑容，但他并没有怨天尤人，一刻也没有中断学习，他的英语阅读能力不但没有生疏，反是愈加熟练。这也使得他十余年后恢复科研时，即能迅速适应形势需求，追踪国际学术前沿。', '1978年底，改革开放以江河沸腾、大地板块撞击的雄伟气势，立体震荡着960万平方公里。党中央号召广大干部抓紧学习科学技术知识。殷震心里清楚，这些年我们国家的科研停滞不前，与发达国家的差距越来越大。面对差距，殷震心中汹涌着一种强烈的责任感和使命感。付出了比一般人多出好几倍的努力，凭借精通多门外语的老底子，他虚心向发达国家学习，研究领域也以马为主拓展到以猪鸡等经济动物的疫病防治。1983年开始，又从细胞水平发展到分子水平。他始终瞄准世界学术前沿和先进技术水平，确立了“在落后和困难中崛起”的奋斗目标。80年代初，他即主持建立了分子病毒学实验室，开展痘病毒活体疫苗、核酸疫苗和重要动物病毒分子流行病学分析等许多开拓性的生物高技术研究。1987年6月，他主持建立了具有国内领先水平的基因工程实验室---中国人民解放军基因工程实验室，成为国家重点学科—传染病与预防兽医学的重要组成部分。所在的兽医大学也成为国家首批博士、硕士授予单位。', '殷震领导的预防兽医学学科始终保持国内领先，在转基因动物研究领域形成独有的特色和优势，在多个研究领域国际领先。他带领学生反复实验，将原来往卵子里转的基因改为往睾丸里转，取得了良好效果，创造了世界先例，被国家列入“863”计划；他在国际上首次在实验室内实现不同属病毒基因的细胞内重组，在国际上首创转基因家兔的自体植人技术……几年来，他先后主持完成“863”项目、国家自然基金重大项目、国家攻关计划、“973”项目等一系列基金项目。先后取得科研成果20多项，其中7项获省部级和国家科技进步一、二等奖，7项获军队科学技术进步一、二等奖。《十三种动物病毒的分离与鉴定》获国家科学技术进步二等奖，对我国动物病毒学的研究和防治工作起到了极大的推动作用。他主编了我国第一部系统的动物病毒学专著--《动物病毒学》，被业内奉为病毒学研究的“圣经”，为一代又一代的病毒学研究工作者所拜读和参考。1997年，该书被列为全国被引用频次最多的20部专著的第13名。他编著、译著《动物病毒学基础》《动物染病诊断学》等专著20余部，发表学术论文100多篇。1990年首批享受政府特殊津贴，并被国家科委授予“全国优秀科技工作者”称号，1995年当选中国工程院院士，1999年荣获中国人民解放军“专业技术重大贡献奖”。', '\r\n ', '殷震对学生比对自己的孩子还上心。他甘为人梯，一心希望学生和同行们通过自己攀上科学高峰。他很注意提携年轻人，更注意对年轻人的引导。他认为“年轻人，很难没有点业余爱好。按说，业余时间打打扑克、下下棋，并不过分。但切记不可‘过度’，‘过度’了就会‘玩物丧志’。”对学生，殷震以“诚”为基础，以“严”为手段。常常是遇到事情，心直口快地当面“熊”，过后又道歉。背后，殷震则总是说学生们的好话，对学生们的恋爱、结婚等生活琐事，他都考虑得很细。在研究和实验的过程中，殷教授允许学生大胆探索，每一步进展不是命令式，而是商讨式、研讨式，出现问题他自己承担责任，而取得成果，他又总是把学生的名字排在前面。博士后赖良学计划深入研究生物反应器，但风险较大，他有所顾虑。殷震看过报告对自己的学生说：“小赖，俗话说‘舍不得孩子套不住狼’，钱嘛，该花就花。既然是探索就允许失败。如果钱不够，我去设法凑。”1990年农业出版社出版的《基因工程学入门》一书，从头到尾都是殷震主持编写的，他设计了书的框架，拟定了书的章节，分派学生一人写一个章节，他一字一句的斟酌、修改，直至书稿满意。但当书稿审阅终稿时，他却大笔一挥，把列在最前面的自己的名字划去。', '殷震爱才如命，育人有方。创立的培养高科技人才群体立体式教学，为高科技人才培养作出了杰出贡献，1989年获全国教学成果军队级一等奖。他先后培养了16名博士研究生、29名硕士研究生和50多名进修生，他们大多成为了我国兽医界的翘楚。如我国第一个兽医学博士熊光明、我国第一个女兽医学博士赵奕、金宁一院士以及赖良学、涂长春、扈荣良、丁壮等大批中青年兽医科学家。其门下相继产生了另两名“兽医”中国工程院院士—夏咸柱院士（2003年当选）和金宁一院士（2015年当选），创造了学术界同一研究室同宗同门“十年一院士”的奇迹。他先后荣立二等功1次，三等功4次，2次被评为全军优秀党员，1次被评为全军优秀教员。1996年被总后勤部评为“一代名师”。', '\r\n ', '殷震年近古稀，加上长期超负荷工作，他身体不是很好，胃切除了3/5，又患有慢性结肠炎，平时只能吃些软食和清淡菜蔬，并要依靠药物维持正常消化。这样的身体，不少人劝他适当放松，该歇歇了，他却不以为然，认为不仅不能放松，而且必须加快步伐。他说：“盛名之下，其实难副。所谓成绩，如与自己的过去相比，确有一些进步，但与先进单位相比，还有很大差距，而要赶上世界水平，更有艰险的道路亟待攀登。”他制订了实验室建设和学科发展规划，立志将病毒研究室建设成为能出高级新成果、能出高科技人才的基地，成为国内外知名度较高并对国内外开放的实验室，并终身为之努力。', '砥砺奋进终有报，其创建的病毒学研究室成为一个品牌，国内大多从事病毒学特别是动物病毒学研究的专家都与该研究室有一定渊源。研究室先后产生了包括殷震在内的3名中国工程院院士，自新中国成立后兽医学界共产生9名中国工程院士，可以说在数量上“三分天下”；夏咸柱院士研制出国家唯一批准的犬用弱毒联合疫苗“犬五联弱毒疫苗”；金宁一院士牵头于2012年获得1项国家科技进步一等奖，是兽医学界第二个“国一”。', '除本职工作外，殷震还兼任国务院学位委员会学科评议组成员、国家自然科学奖复审组成员、国家自然科学基金委员会学科评审组成员、国家科技进步奖军事医学评审委员会委员，解放军医学科学技术委员会常委，中国微生物学会病毒专业委员会副主任委员，中国免疫学会兽医免疫分会名誉理事长，中国畜牧兽医学会常务理事和传染病学分会理事长，中国生物技术研究会副主任委员，《中国兽医学报》主编，《病毒学报》副总编，云南农业大学、扬州大学、宁夏大学和汕头大学客座教授，南京农业大学荣誉教授，兽医生物技术国家重点实验室学术委员会副主任，云南省热带动物病毒重点实验室学术委员会主任，美国华盛顿州立大学合作科学家等30多个职务。他均能身在其位而谋其政，尽力做好各项工作，同时为了扩大国际学术交流，他多年来先后与美国、加拿大、德国、法国、日本、澳大利亚、新加坡等13个国外学术单位建立和保持学术联系。每参加一次国际学术活动，他都要交上一批国际朋友，推荐一批优秀青年到海外高端实验室进修。他曾用半年的时间访问了华盛顿州立大学、爱荷华州立大学等6个大学和1个研究所，与美国科学家结下了深厚的友谊，为我国兽医国际化人才培养作出了突出贡献。', '\r\n ', '院士，我国最高的学术称号，按照世俗的眼光，殷震似乎该有的全都有了。事业的成功，名声的显赫，物质的充裕，家庭的和睦……但他追求的目标显然不是这些，他始终驾驭着人生的风帆在事业的汪洋大海中搏击！他常用来自勉的四句话是：工作上奋发进取，学术上精益求精，作风上严谨务实，生活上适可而止。在学校和研究所印象中，殷震从不考虑个人的事，而只是把事业当作人生最大的追求，把高尚人格当作人生的最大精神财富，把学问当作人生的最大价值。他满脑子想的是课题，认为人生一世，只有做人、做事、做学问可以延续，而其他东西都是身外之物。', '按部队规定殷震分到军职房后，不少人建议：“殷教授，这下该好好装修一下了吧，至少要安上铝合金门窗吧!”殷震却断然回绝：“房子嘛，我的观点是能住就行。搞那么排场干吗?累赘！”一次，妻子胡美贞找到校长：“我们有一个孩子业务还算对口，能不能把他调来。”校长说：“根据政策可以。”殷震知道了，却找到校长说：“当前学校职工队伍正搞精简，我的孩子不能调来。何况他们都有自己的事业、子女不应该依靠父母，父母也不该依赖子女。”校长问：“你说的是真话?”殷震反问：“我什么时候给你说过假话?”校长道:“您老伴可对我讲了。”殷震说：“别听她的话。”按照国家有关规定，学校为殷震配备了专车，然而在殷震的严格要求下，这辆桑塔纳事实上成了实验室进行研究活动的“专车”。', '殷震外出开会，从不顺路游山玩水，总是搞完学术研究和交流，尽快赶回实验室。一次，殷震带着博士生去大连参加一个学术活动，餐费都由接待方签单，到了海滨城市，却没有吃过一顿像样的海鲜。离开前学生们建议：“到海滨吃一次大虾不过分吧？”殷震道：“好，一人要一只虾。”但他一问价格，一只虾要30元人民币，连连说：“算了吧！虽说我们吃饭都是接待方签单，但在吃上花钱太多，我心里就感到不安。”结果，整个海滨之行，他们没有吃一次海鲜。', '殷震穿戴极其简朴。他的棉被袖口破了都是请夫人缝缀一下就继续穿。一次殷震带研究生扈荣良到上海开会。他的皮鞋实在太破旧，鞋跟不知道什么时候忽然掉了。扈荣良便给导师买了一双，殷震死活不让扔掉旧皮鞋。硬是带回长春，让老伴将旧鞋子拿到鞋摊上换了一只跟儿，又继续穿起来了。', '殷震就是这样一个对学问要求严苛，对生活要求简洁的人。在攀登科技高峰、传播真理、培育新人的道路上，殷震永远离我们而去了。他走的是那样匆忙，连一句遗言也没有留给他的领导、学生、同事和战友。但是，他却给我们留下了宝贵的精神财富。', '殷震的一生，是为党、为军队、为后勤科技事业勤奋耕耘的一生；是追求真理，献身科学，为我国畜牧兽医教育事业发展拼搏奋斗的一生；是燃烧自己，照亮别人，呕心沥血培养高科技人才的一生。在科学研究领域里辛勤耕耘了半个多世纪，成果卓著，为我国兽医事业特别是动物病毒学研究事业作出了重大贡献；他学识渊博，治学严谨，淡泊名利，甘为人梯，为国家和军队培养了大批跻身于高科技领域的人才群体，被誉为“一代名师”；他坦诚为人，胸襟博大，德艺双馨，平易近人，有纯正无瑕的人格魅力，律己严格，恩泽于人，为科技工作者树立了光辉的典范。', '（图文源自“吉大动医”微信公众号）', '\r\n ', '\xa0']"
2019-10-22,社会科学处,中国历史研究院院长高翔一行来吉林大学调研,"['【消息来源：社会科学处】10月14日，中国社会科学院党组成员、副院长，中国历史研究院院长、党委书记高翔一行来吉林大学调研并同有关专家进行座谈。吉林大学副校长蔡立东，社会科学处、文学院、考古学院、东北亚研究院等单位负责同志以及相关学者参加座谈会。座谈会由蔡立东主持。', '吉林大学校长张希会见了代表团一行。张希校长对中国历史研究院一行的到来表示热烈欢迎，并对中国社会科学院以及中国历史研究院对吉林大学长期的关心和支持表示感谢，希望在日后的工作中加强合作，发挥各自的优势，将吉林大学打造成为东北亚历史问题研究的重镇。', '座谈会上，文学院、考古学院、东北亚研究院相关负责人和专家汇报了各自学科的建设进展情况。与会专家就东北边疆问题研究、东北亚历史研究等问题进行了深入研讨。', '高翔简要介绍了中国历史研究院的基本情况和近期工作重点，对吉林大学的史学学科研究给予充分肯定。他表示，自己和吉林大学有着深厚的感情，吉林大学历史学和考古学研究源远流长，希望吉林大学历史学和考古学发挥自己的综合优势，打破学科壁垒，结合地方特色，积极推动历史学融合发展，充分发挥知古鉴今、资政育人的史学功能，中国历史研究院将为吉林大学的学术研究发展提供大力支持。', '蔡立东向高翔长期以来对吉林大学的支持表示感谢，他介绍了吉林大学的基本情况，简要叙述了学校历史学以及考古学的历史沿革。他表示，学校将地处东北作为深刻思考、沉静追问的科学优势，并将在未来加强基础理论研究，积极服务国家战略需求，为加快构建中国特色历史学学科体系、学术体系、话语体系贡献“吉大智慧”。', '据悉，中国历史研究院成立于2019年1月，是习近平总书记亲自批准成立的新中国第一个国家级层面史学研究机构，研究院主要职责是统筹指导全国历史研究工作，整合资源和力量制定新时代中国历史研究规划，组织实施国家重大项目，讲好中国历史、传播中国文化，建设成为全国中国历史综合研究中心、中国历史研究国际学术交流中心、世界上最权威最具影响力的中国历史研究机构。']"
